word,3gab.txt,3gar.txt,3stu.txt,abbe.txt,advs.txt,bery.txt,blac.txt,blan.txt,blue.txt,bosc.txt,bruc.txt,cano.txt,card.txt,case.txt,chas.txt,cnus.txt,copp.txt,cree.txt,croo.txt,danc.txt,devi.txt,dyin.txt,empt.txt,engr.txt,fina.txt,five.txt,glor.txt,gold.txt,gree.txt,houn.txt,iden.txt,illu.txt,lady.txt,last.txt,lion.txt,lstb.txt,maza.txt,mems.txt,miss.txt,musg.txt,nava.txt,nobl.txt,norw.txt,prio.txt,redc.txt,redh.txt,reig.txt,resi.txt,reti.txt,retn.txt,scan.txt,seco.txt,shos.txt,sign.txt,silv.txt,sixn.txt,soli.txt,spec.txt,stoc.txt,stud.txt,suss.txt,thor.txt,twis.txt,vall.txt,veil.txt,wist.txt,yell.txt
atrocity,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
attach,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,
attache,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attached,,,,2,2,,,,,,,26,1,1,,25,,,1,,,,,,,,,,,4,,1,3,,,4,,6,1,2,,1,,,,,1,1,,4,,1,,,,,,1,,3,,,,2,,,1
attaches,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
attachment,,,,,,,,,,,,3,,,,3,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
attack,,1,,,1,,,2,,,,38,,12,,26,,1,2,1,,,1,1,1,,3,,,,,4,2,1,1,6,,9,1,1,1,,1,1,3,,1,,,5,,,,1,,,,,,1,1,1,,3,1,,
attacked,,,,,3,,,,,1,,19,,4,,15,,3,,1,,,1,,1,,1,,,2,,1,1,,,3,,2,,,,1,,,1,,,,,2,,,,1,,,,1,,,,,,2,,1,
attacks,,,,,,,,,,,,13,,3,,10,,1,,,,,,,1,,,,,1,,,,,,2,,5,,,,,,,,,2,2,,1,,1,,1,,,,,,,2,,,,,1,
attain,,,,,2,,,,,,,11,,2,,9,,,,,,,,,,1,,,,1,,1,,,,,,,1,,,,,,,,,,,2,,,,,,1,,,,3,,1,1,1,,,
attained,,,,,1,,1,,1,,,7,,1,,6,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,4,,,,,,,,,,,,1,,1,,,
attainments,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
atte,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
attempt,1,,,3,10,,1,1,3,1,,62,,4,,58,,,,,1,1,2,,1,,,,2,2,1,2,,,,11,,13,,1,3,,,2,1,2,2,1,,12,2,2,,1,1,2,,,1,4,,,1,5,,8,1
attempted,,1,,,3,1,,,,,,17,,2,,15,,,,,,1,3,,,,,,,,,,,,,2,,2,,,1,,1,,,,,,,5,,,,1,,1,,,1,2,,1,2,,,1,
attempting,,,,1,1,,,,,,,4,,,,4,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,
attempts,,,,,5,,,,,,,11,,1,,10,,,,,,,,,,,,,,1,,,,,,1,,1,,,1,1,,,,1,,,,,2,,,,,,,1,,1,,,,1,1,1,
attend,,,1,,3,,,,,,,10,,1,,9,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,1,,1,,,,2,,1,
attendance,,,,,,,,1,,,,4,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,
attendant,,,,,3,,,,2,,,10,,,,10,,,,,,,,,,,,,,3,,,1,,,1,,1,,,,,,,,,,,,1,,,,,,,1,,1,1,,,1,,,,
attended,,,,,1,,,,,,,6,,,,6,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,1,,1,,,,,,,,1,,,,1,,,
attending,,,,,,,,,,,,2,,,,2,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
attends,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,
attenta,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
attention,,2,2,5,24,1,4,2,1,6,2,142,2,17,,125,,2,2,4,4,,6,,1,2,,2,1,8,3,3,1,,2,13,,26,4,4,5,3,4,3,,1,8,,1,43,3,1,,,4,5,3,4,,4,2,2,,7,1,4,1
attentions,,,,,3,,,,1,,,11,,4,,7,1,,,,,,1,,,,,,,1,1,,,,2,,1,1,,1,,,,,,,,,,1,,,,,,,,,,,,1,,1,,,
attentive,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
attentively,,,,,,,,,,,,3,1,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,
attenuated,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
attic,,,,,4,,,,,,,6,,,,6,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
attica,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
attics,,,,,1,,,,,,,2,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
attire,,,,,,,,,,,,5,,,1,5,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,2,,,,1,,,,,,,,,,,,1,
attired,,,,,1,,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,
attitude,,1,1,,2,,,1,,,,19,,3,1,16,,1,,,2,,1,,,,,,,2,,,,,,2,,4,,1,1,1,,1,,,1,,,5,1,,,,,,1,,,1,,,,,,,1
attorney,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
attract,,,,,1,,,,,1,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
attracted,,,,,5,1,,1,,,,17,,3,,14,1,1,1,,,,,,,1,,,,1,,,1,,1,1,,2,,,1,1,,,,,,,,1,1,1,,,,,,,,,,,,4,,,
attracting,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
attraction,,,,,,,,,,,,3,1,1,,2,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
attractions,,,,,1,,,,,,,4,,,,4,1,,,,,,,,,,,,,1,,,,,,,,2,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
attractive,,,,,,,,,,,,8,,2,,6,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,1,,2,,2,,,1
attracts,1,,,,,,,,,,,4,,2,,2,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,
attribute,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
attributed,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,
atwood,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
au,,,,,,,,,,,,6,,,,6,,,,,,,,,,,,,,1,,,,1,,2,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,1,
auckland,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
auction,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
auctioneer,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audacious,,,,,,,,1,,,,4,,1,,3,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
audacity,,,,,,,,,,,,7,,,,7,,,,,,,1,,,,,,,2,,,,,,2,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,1,,2,
audible,,,,,1,,,,,,,4,,,,4,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,1,,,,,,,
audience,,,,,,,,1,,,,5,,1,,4,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,1,,1,
audiences,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
auditors,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
audits,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audley,,,,,,,,,,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
augmented,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
august,,,,,1,,2,,,,1,12,1,2,,10,,2,,,,,,,,,,,,,,,,3,,5,,,,,,,1,,,,,,,3,1,,,,,,,,,1,,,,,,,
augustine,,,,,1,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
augusto,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
augustus,,,,,,,,,,,,6,,,4,6,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
aunt,,,,,3,,,,,,,4,,,,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,1
auntie,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
aurora,,,,,,,,,,,,19,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,
aus,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
auspicious,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
austere,,1,,2,,,,1,,,2,13,,5,,8,,,,,,,1,,,,,,,1,,,,,,2,1,,,,,,,,,,,,1,5,,1,1,,,,1,,,,,,,,,,
austerity,,,,,,,,,,,1,3,,,,3,,,,,,1,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
austerlitz,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,
australia,,,,4,2,,,,,2,,11,,,,11,,,,,,,1,,,,2,,,,,,1,,,1,,2,,,,,,1,,,,,,6,,,,,,,,,,,,,,,,,
australian,,,,1,3,,,,,3,,5,,,,5,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
australians,,,,,1,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
austrian,,,,,,,,,,,,4,,4,,,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
authenticity,,,,,1,,,,,,,2,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
author,,,,,,,,,,,,8,2,,,8,,,,1,,,1,,,,,,,1,,,,,,2,,1,,,,,,,,,,1,,2,,,,,,,,,,,,,,2,,,
authoritative,,,,,1,,,,,,,3,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,
authorities,,,,,3,,,2,,,,14,,2,,12,,,,,,,,,,1,,,,2,,,1,,,1,,2,,,2,,,,,,,,,1,,1,,2,,,,,,,,,2,1,,,
authority,,,,,1,,,2,,,,20,,6,,14,,,,,,1,,,,,,,1,1,,3,1,,,2,,2,,,,1,,,,,,1,,,,,,1,,,,,,6,,,,1,1,,
authorship,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
autobiography,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autocrat,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autograph,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
automatic,1,,,,,,,,,,1,2,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
automaton,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
autumn,,,,,1,,1,,,,,10,,,,10,,,,,,,,,,,2,,,3,,,,,,,,3,,,,,,,,1,,1,,3,,2,,,,,,,,,,,,,,,
autumnal,,,,,2,,,,,,,3,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,
auxiliary,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
avail,,,,1,1,,,,,,1,11,,,,11,,,,,,,,,,,,,,1,,,,,,2,,1,,,,,,1,,1,,1,,2,,,,,,,,,,4,,,,,,1,
available,,,,,,,1,,,,,4,,1,,3,,,,,1,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
availed,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,
avarice,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
avay,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
aveling,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,
avenge,,,,,,,,,,,,4,,,,4,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,
avenged,,,,,,,,,,,,3,,1,,2,,,,1,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
avenger,,,,,,,,,,,,7,,1,1,6,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,3,,1,
avengers,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
avenges,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
avenging,,,,,,,,,,,,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,1,,,
avenue,,,,1,6,,,,,,,20,,2,,18,,,,,,,,,,,2,,2,3,,1,,,,1,,6,,1,,1,,1,,,1,,,2,4,,1,,,,,1,,,,,,,,1,
average,,,,,3,,,,,,,7,,,,7,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,1,,,,1,,,,2,,,,,,,,,1,,,,1
averse,,,,,5,,,,,3,,9,,1,,8,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,1,,,,,,,1,1,,,1,,,,1,,,,,,,,,
aversion,,,,,2,,,,,,,5,,,,5,1,,,,1,,,,,1,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
avert,,,,,3,2,,,,,,5,,1,,4,,,,,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
averted,,,,,1,,,,,,,3,,,,3,,,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
aviary,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
avidity,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,
avoid,,1,2,,3,,,1,,1,,30,,3,1,27,,1,1,2,1,,,,,,,1,,4,,,,,,3,,1,,,,,1,2,2,,,,,13,,2,,1,,1,1,,,2,,,2,,,,
avoided,,,,,2,1,1,1,,1,,9,1,2,,7,,,,,,,,,1,,,,,1,,,,,,1,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,
avoiding,,,,,1,,,,,,,2,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
avoids,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
avowed,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
await,,,,,1,,,,,,1,10,,1,,9,,,,,1,,,,,1,,,,,,,,,,2,,1,1,,1,,,,,,,,,1,,,,2,,,,,,2,,1,,,,,
awaited,,,,,1,,,,,,1,9,,,,9,1,,,,1,,,,,,,,,1,,,,,,2,,1,,,1,,,1,,,,,,2,,,,,,1,,,,1,,,,1,,,
awaiting,1,,,,1,,,,,,,24,,4,,20,,,,,1,,1,,,,,,,2,,1,1,,1,2,,2,,,,,1,2,,,,,,4,1,,1,3,2,,,,,4,,,,2,,,
awaits,,,2,,,,,,,,2,9,,,,9,,,,,,,,,2,,,,1,,,,,,,2,,3,,,,,,1,,,,,,3,,,,1,,,,,,,,,,,,,
awake,,,,,4,1,,1,,,,14,,4,,10,1,2,,,,,,,,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,5
awakened,,,,1,3,1,,,,,,13,,1,,12,,1,,1,,,,1,,,,,,,,,,,,1,,2,,,2,,1,,1,,,,,3,,,,,,,,1,,,,,,3,,,
awakens,,,,,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aware,1,,6,1,10,,,1,,2,4,101,2,19,1,82,1,4,1,3,2,1,3,2,2,,,5,2,8,,3,,2,2,15,4,8,5,,,,1,2,2,1,1,,1,30,3,1,1,,,,2,1,,1,,1,,10,1,2,2
away,6,2,3,6,106,11,2,7,5,9,8,540,7,57,8,483,10,1,4,13,3,3,2,10,15,8,7,8,10,60,8,6,8,2,6,42,4,88,5,8,8,16,4,8,5,6,9,3,4,72,6,2,9,34,9,6,5,9,5,45,3,4,8,36,4,6,10
awe,,,,,,,,,,,,4,,,,4,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,
awed,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
awesome,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
awful,,,,,3,1,,,,,1,26,,8,,18,,1,1,,1,,1,,,1,,,,1,,3,,,,3,,1,2,,,1,,,,,,,1,4,,,,,,,1,,,4,,1,,2,2,1,
awhile,,,,1,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,
awkward,1,,,,3,,,1,1,,1,12,,2,,10,,,,,,,,1,,,,,,1,,,1,,,2,,1,,,,,,1,,1,,,,2,,,,,,1,,,,,,,,1,,,1
awkwardly,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
awoke,,,,,1,1,,,,,,6,,,,6,,,,,,,,,,,,,,1,,,,,,,,2,,,1,,,,,,,,,,,,,,1,,,,,1,,,,1,,,
awoken,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
awry,,,,,,,,,,,,3,,,,3,,,1,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,
axe,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
axed,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,
axiom,,,,,1,,,,,,1,3,,1,,2,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ay,,,,,2,,,,,,,13,1,,,13,,,1,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,8,,,1
aye,,,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ayrshires,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
azof,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
b,,,,1,6,,,1,3,,,14,,4,,10,,,,,,,1,,,2,,,,1,,,,,,1,,,,,,,,,1,1,,,2,2,,,1,,,,,,,,,,,,,,
babble,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
babbled,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
babbling,,,,,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
babe,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
baboon,,,,,4,,,,,,,6,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,4,,1,,,,,,,
baby,1,,,1,2,,,,,1,,18,,14,,4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,13,,,,,1,
baccy,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
bachelor,,,,,8,,,,1,,,21,,,,21,1,,2,,1,,,2,,,,,,1,,,,,,3,,4,,1,,1,3,,1,1,1,,,3,1,,,,,,,,,,,,,2,,1,
bachelors,,1,,,1,,,,,,,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
back,9,4,6,11,139,12,6,14,12,15,12,864,16,99,12,765,13,7,10,12,14,8,14,14,6,6,7,18,8,74,9,7,7,9,8,93,9,117,14,6,25,13,11,14,9,6,11,4,9,165,9,20,10,63,16,11,16,12,7,46,5,9,18,68,8,18,17
backed,,1,,,4,,,1,1,1,,12,,2,,10,1,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,1,,,1,,,1,,,,,,,,,,2,,,1,1,,,
backgammon,,,,,1,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
background,,,,,1,,,,1,,,7,1,2,,5,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,1,
backs,,,,,,,,,,,,4,,,,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,1,1,,,,1,,,
backward,,,,,7,1,,,,,,15,1,1,,14,1,,,,1,,,2,,,,,1,,1,,1,,,4,,1,,,,,,,1,1,,,,,,,,1,,,,1,,,,1,,1,,,
backwards,,,,,,,,,,,,14,,,2,14,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,1,2,,,,,,6,,,,4,,,,,,3,,,,,,,
backwater,,,,,3,,,,,,,6,,,,6,,,,,,,,,,,,,,,,,,,,,,2,,,,3,,,,,,,,1,,,,,2,1,,,,,,,,,,,
backwoods,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
bacon,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bad,1,2,3,1,14,,,1,2,2,3,117,2,16,,101,2,,1,2,2,1,,,,,1,4,,9,2,2,,2,1,14,3,11,,,3,1,4,3,1,1,1,1,1,18,2,,2,11,2,,1,,1,5,2,1,2,19,,3,1
baddish,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
bade,,,,,2,,1,,,,,9,,,,9,1,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,1,,,,2,,,,,,,,,1,3,,,,,,,
baden,,,,,,,,,,,,10,,,,10,,,,,,,,,,,,,,,,,10,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
badge,,,,,1,,,,,,,3,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
badger,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
badges,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
